experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.8,0.0,1.0,1.0,0.8999078512024581,0.8955779936576057,0.904468869128916,0.9,300,20260823,0.09333333333333334,0.014403539754027861
phase3_power_surface,n1000_a0.5_p1,1000,1,500,0.5,0.93,0.0,1.0,1.0,0.9648618043959855,0.9628827756841079,0.9668023374676279,0.9650000000000001,300,20260823,1.0,0.05747431794529234
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.01,0.0,0.06,0.06,0.5574237954791426,0.547259954817298,0.5685848658731623,0.505,300,20260823,0.0,4.262602804368172
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.02,0.0,0.30666666666666664,0.31,0.569435730080173,0.5582995623656709,0.5824809367770091,0.51,300,20260823,0.0,4.8458491305622236
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.04,0.0,0.8366666666666667,0.8366666666666667,0.5964890572895174,0.583578068040578,0.6115823694156248,0.52,300,20260823,0.0,6.2876159235742275
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.07,0.0,0.9933333333333333,0.9933333333333333,0.6445213031371644,0.6306485851852592,0.6556721687419071,0.535,300,20260823,0.0,9.200632643566315
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.1,0.0,1.0,1.0,0.6837709036001587,0.6716844575064936,0.6946730936728766,0.55,300,20260823,0.0,11.54061811432344
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.15,0.0,1.0,1.0,0.7380709338010636,0.7277991142129538,0.7495612210914806,0.575,300,20260823,0.0,14.842069434930968
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.22,0.0,1.0,1.0,0.7933284937743816,0.7858423020315943,0.8027070707674212,0.61,300,20260823,0.0,18.161912781307798
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.32,0.0,1.0,1.0,0.8537786922232034,0.8464020382793768,0.8602067357747667,0.66,300,20260823,0.0,22.277841608987377
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.45,0.0,1.0,1.0,0.9026816608541512,0.8972562882490438,0.9074096522388648,0.725,300,20260823,0.17333333333333334,25.44831478435464
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.62,0.0,1.0,1.0,0.9459335201974339,0.9428703144964341,0.9482596534542119,0.81,300,20260823,1.0,28.56296158205286
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.8,0.0,1.0,1.0,0.9762883982348574,0.975045817649199,0.977670088882244,0.9,300,20260823,1.0,30.760313117857216
phase3_power_surface,n1000_a0.5_p5,1000,5,500,0.5,0.93,0.0,1.0,1.0,0.9926843938527659,0.9922767261816128,0.9930325901556097,0.9650000000000001,300,20260823,1.0,32.23815411394061
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.01,0.0,0.06333333333333334,0.06333333333333334,0.9008173200224836,0.8937331553744534,0.9097543531299314,0.901,300,20260823,0.0,0.020108145571708924
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.02,0.0,0.09333333333333334,0.09666666666666666,0.9026852532588507,0.8930285389616287,0.9113990860240189,0.902,300,20260823,0.0,0.07641412238100753
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.04,0.0,0.11666666666666667,0.11666666666666667,0.905152510347862,0.896390189234275,0.9138517100088298,0.904,300,20260823,0.0,0.13120349326565084
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.07,0.0,0.11,0.11666666666666667,0.9071058019024316,0.8988333884294739,0.9144543473510468,0.907,300,20260823,0.0,0.012331686807085074
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.1,0.0,0.19333333333333333,0.19666666666666666,0.9111083531271147,0.9015522478095055,0.9180318899150002,0.91,300,20260823,0.0,0.13372566971459643
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.15,0.0,0.3333333333333333,0.3333333333333333,0.9162135578650017,0.9089988545765455,0.9223825163788942,0.915,300,20260823,0.0,0.15432923639802115
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.22,0.0,0.61,0.6133333333333333,0.9225150071265017,0.915836880744993,0.9289819680153993,0.922,300,20260823,0.0,0.07058321686412827
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.32,0.0,0.8733333333333333,0.8766666666666667,0.9317488738501379,0.9248819334553915,0.9376527460987489,0.932,300,20260823,0.0,0.03887069596959858
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.45,0.0,0.9966666666666667,0.9966666666666667,0.9451166870467496,0.93964191359565,0.9501405276335442,0.9450000000000001,300,20260823,0.0,0.02208309068703862
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.62,0.0,1.0,1.0,0.9621989783967135,0.9586595270804777,0.9666226377849663,0.962,300,20260823,0.0,0.05362153754525778
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.8,0.0,1.0,1.0,0.979959731621241,0.9782945487159089,0.9817541746487333,0.98,300,20260823,0.0,0.020168684594461084
phase3_power_surface,n1000_a0.9_p1,1000,1,899,0.9,0.93,0.0,1.0,1.0,0.9930933541603949,0.9922640288864856,0.9938268894429764,0.993,300,20260823,1.0,0.13285426997487093
phase3_power_surface,n1000_a0.9_p5,1000,5,899,0.9,0.01,0.0,0.07666666666666666,0.09666666666666666,0.9302117674231188,0.9254650380568965,0.9357677342414104,0.901,300,20260823,0.0,5.149786024630155
phase3_power_surface,n1000_a0.9_p5,1000,5,899,0.9,0.02,0.0,0.09333333333333334,0.09333333333333334,0.9309643775801333,0.9261222469147948,0.9360973644997248,0.902,300,20260823,0.0,5.155048116048493
phase3_power_surface,n1000_a0.9_p5,1000,5,899,0.9,0.04,0.0,0.15333333333333332,0.17,0.9338272844545307,0.9286569901843365,0.9384900587540245,0.904,300,20260823,0.0,5.459946944152995
